Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes
"Tue, Oct 27, 2015",8:00p,Cleveland Cavaliers,95,Chicago Bulls,97,Box Score,,21957,United Center,
"Tue, Oct 27, 2015",8:00p,Detroit Pistons,106,Atlanta Hawks,94,Box Score,,19187,Philips Arena,
"Tue, Oct 27, 2015",10:30p,New Orleans Pelicans,95,Golden State Warriors,111,Box Score,,19596,Oracle Arena,
"Wed, Oct 28, 2015",7:00p,Washington Wizards,88,Orlando Magic,87,Box Score,,18846,Amway Center,
"Wed, Oct 28, 2015",7:30p,Philadelphia 76ers,95,Boston Celtics,112,Box Score,,18624,TD Garden,
"Wed, Oct 28, 2015",7:30p,Chicago Bulls,115,Brooklyn Nets,100,Box Score,,17732,Barclays Center,
"Wed, Oct 28, 2015",7:30p,Utah Jazz,87,Detroit Pistons,92,Box Score,,18434,The Palace of Auburn Hills,
"Wed, Oct 28, 2015",7:30p,Indiana Pacers,99,Toronto Raptors,106,Box Score,,19800,Air Canada Centre,
"Wed, Oct 28, 2015",7:30p,Charlotte Hornets,94,Miami Heat,104,Box Score,,19724,AmericanAirlines Arena,
"Wed, Oct 28, 2015",8:00p,New York Knicks,122,Milwaukee Bucks,97,Box Score,,18717,BMO Harris Bradley Center,
"Wed, Oct 28, 2015",8:00p,San Antonio Spurs,106,Oklahoma City Thunder,112,Box Score,,18203,Chesapeake Energy Arena,
"Wed, Oct 28, 2015",8:00p,Cleveland Cavaliers,106,Memphis Grizzlies,76,Box Score,,18119,FedEx Forum,
"Wed, Oct 28, 2015",8:00p,Denver Nuggets,105,Houston Rockets,85,Box Score,,18240,Toyota Center,
"Wed, Oct 28, 2015",10:00p,Dallas Mavericks,111,Phoenix Suns,95,Box Score,,18055,Talking Stick Resort Arena,
"Wed, Oct 28, 2015",10:00p,New Orleans Pelicans,94,Portland Trail Blazers,112,Box Score,,19393,Moda Center,
"Wed, Oct 28, 2015",10:00p,Los Angeles Clippers,111,Sacramento Kings,104,Box Score,,17458,Sleep Train Arena,
"Wed, Oct 28, 2015",10:30p,Minnesota Timberwolves,112,Los Angeles Lakers,111,Box Score,,18997,STAPLES Center,
"Thu, Oct 29, 2015",7:00p,Memphis Grizzlies,112,Indiana Pacers,103,Box Score,,18165,Bankers Life Fieldhouse,
"Thu, Oct 29, 2015",8:00p,Atlanta Hawks,112,New York Knicks,101,Box Score,,19812,Madison Square Garden (IV),
"Thu, Oct 29, 2015",10:30p,Dallas Mavericks,88,Los Angeles Clippers,104,Box Score,,19218,STAPLES Center,
"Fri, Oct 30, 2015",7:00p,Miami Heat,92,Cleveland Cavaliers,102,Box Score,,20562,Quicken Loans Arena,
"Fri, Oct 30, 2015",7:00p,Utah Jazz,99,Philadelphia 76ers,71,Box Score,,17122,Wells Fargo Center,
"Fri, Oct 30, 2015",7:00p,Oklahoma City Thunder,139,Orlando Magic,136,Box Score,2OT,18846,Amway Center,
"Fri, Oct 30, 2015",7:30p,Toronto Raptors,113,Boston Celtics,103,Box Score,,16898,TD Garden,
"Fri, Oct 30, 2015",7:30p,Chicago Bulls,94,Detroit Pistons,98,Box Score,OT,16035,The Palace of Auburn Hills,
"Fri, Oct 30, 2015",8:00p,Charlotte Hornets,94,Atlanta Hawks,97,Box Score,,17024,Philips Arena,
"Fri, Oct 30, 2015",8:00p,Washington Wizards,118,Milwaukee Bucks,113,Box Score,,13858,BMO Harris Bradley Center,
"Fri, Oct 30, 2015",8:30p,Brooklyn Nets,75,San Antonio Spurs,102,Box Score,,18418,AT&T Center,
"Fri, Oct 30, 2015",9:00p,Minnesota Timberwolves,95,Denver Nuggets,78,Box Score,,17660,Pepsi Center,
"Fri, Oct 30, 2015",9:30p,Golden State Warriors,112,Houston Rockets,92,Box Score,,18142,Toyota Center,
"Fri, Oct 30, 2015",10:00p,Los Angeles Lakers,114,Sacramento Kings,132,Box Score,,17391,Sleep Train Arena,
"Fri, Oct 30, 2015",10:30p,Portland Trail Blazers,92,Phoenix Suns,110,Box Score,,18055,Talking Stick Resort Arena,
"Sat, Oct 31, 2015",7:00p,Utah Jazz,97,Indiana Pacers,76,Box Score,,14412,Bankers Life Fieldhouse,
"Sat, Oct 31, 2015",7:00p,New York Knicks,117,Washington Wizards,110,Box Score,,20356,Verizon Center,
"Sat, Oct 31, 2015",7:30p,Golden State Warriors,134,New Orleans Pelicans,120,Box Score,,18406,Smoothie King Center,
"Sat, Oct 31, 2015",8:00p,Brooklyn Nets,91,Memphis Grizzlies,101,Box Score,,16013,FedEx Forum,
"Sat, Oct 31, 2015",10:00p,Phoenix Suns,101,Portland Trail Blazers,90,Box Score,,17906,Moda Center,
"Sat, Oct 31, 2015",10:30p,Sacramento Kings,109,Los Angeles Clippers,114,Box Score,,19060,STAPLES Center,
